,clean_text
236,halo kak akun my blokir bantu 
237,hai kak tanggal kirim paket paketnya bertuliskan on process paket nya tanggal tujuan nya bekasi bantu tidak yah terimakasih 
238,pesen paket dikirim pakai yes ditangerang jam tu paket pakai oke seminggu sampenya lambat 
239,cek pengiriman berkala ditanyakan silahkan konfirmasi twitter terima kasih lucky 
240,halo paket resi tjx perubahan status dr malam pakai yes 
241,haduu deh pas dikirim rumah kondisinya kaya gamau ganti rugi unit wkwkw 
242,pagi kak hendri mohon maaf paket diterima kak admin cek paketnya proses operasional kota tujuan laporannya dikoordinasikan diproses terkait perihal paket diterima 
243,tidak beli barang kirim tanggal tidak tidak niat konfirmasi 
244,telfon care dihari jumat infokan lakukan refund maksimal rabu instruksikan laporannya tutup oke ikuti molor janji disuruh hubungi mp tidak progres bualan janji parah 
245,halo jumat malam konfirmasi hasil investigasi refund maksimal rabu tidak kejelasan dijanjikan janjikan 
246,kak beli baju kondangan jan tidak kawin grgr e 
247,haduh nerima ikan nila 
248,pagi kak ony admin cek jadwal pengantaran diantarkan alamat penerima pengirimannya dalam estimasi mohon ditunggu pengecekan status paket kakak link 
249,ehh cok si cepat 
250,speak up kak tidak ampun bikin berantakan rencana bikin susah nya dicepat bertele 
251,emg bobrok pelayanannya beda si 
252,pusat 
253,bosku masi gini gk pergerakan 
254,samperin kantor pusat bagian penerimaan komplain kantor ngirim 
255,pagi kak admin cek resi nlidap terbaca disistem resi dikirim tanggal kak resi terbaca x jam mohon cek kak cek pengiriman kak 
256,bantu follup pesanan lazada metode cod niat cancel seller respon nlidap cancel rumah cancel 
257,pagi kak admin cek paketnya dalam proses penerusan kota tujuannya mohon ditunggu estimasi maksimalnya pengiriman maksimal tanggal cek pengiriman berkala 
258,pagi min resi jt posisi status shopee dr tanggal mei received by counter of officer at tangerang dikirim tujuan amp proses perjalanan posisi digudang tangerang 
259,pagi kak terima kasih sarannya admin bantu perihal kiriman layanan silahkan infokan via dm terima kasih saki 
260,neh 
261,salam bangke babi bagian operasionalnya disana 
262,sdg mengajukan pengembalian barang semoga approve kenyamanan mmg terganggu pakai biadab 
263,tindak suspen si pembeli 
264,dr history komplain sdh ga muat dibukukan stop total pakai pelayananny bangke 
265,tidak perlu bantu ngecek mantau barangnya tidak bergerak payah 
266,infokan karyawan brengsek dsitu biadab nahan paket berhari dr awal sdh ga niat pakai biadab terpaksa dealkan seller cmn pakai babi 
267,halo koplak stts paket update paket wktu nahan paket karyawanny manusia anjing 
268,pick up 
269,hai kak rio mohon maaf kejadian kakak alami laporan kakak ditangani tim terkait banjarnegara pemalang informasi tim terkait terhubung penerima 
270,hai kak mario counter buka jam jakarta timur kantor perwakilan matraman beralamat jl matramana raya matraman jakarta timur nomor telepon kak terima kasih dani 
271,min jam daerah cawang kalimalang ga terima kasih 
272,haloo 
273,neh 
274,min amp pengirim paket penjual teriak teriak tuh solusinya 
275,halo paket lebaran dianter parah pelayanannya tanggal jakarta resi 
276,halo paket lebaran dianter parah pelayanannya tanggal jakarta resi 
277,tracking resi nya 
278,kak hitungin ongkos kirim jtr bogor kota binus jakarta barat p x l x t cmx cmx kg ditunggu kak jawabannya thankyuu 
279,keterlaluan kirim paket informasi barang diteruskanmelalui moda transportasi tidak lulus x ray barusan telepon infokan tnyata ketemu nya kasih informasi tidak valid customer alasan pakai mengulur 
280,menggunakan jasa pengiriman gk hampir tanggal sampek tanggal gk kabar c 
281,menggunakan jasa pengiriman gk hampir tanggal sampek tanggal gk kabar ceck resi gk berubah situ menghubungi balasan menunggu comfirmasi kejelasan 
282,malam fenomena gerhana total bertepat waisak hampir selur 
283,malam fenomena gerhana total bertepat waisak hampir selur 
284,malam fenomena gerhana total bertepat waisak hampir selur 
285,malam fenomena gerhana total bertepat waisak hampir selur 
286,malam fenomena gerhana total bertepat waisak hampir selur 
287,malam fenomena gerhana total bertepat waisak hampir selur 
288,serem 
289,malam fenomena gerhana total bertepat waisak hampir wilayah menyaksikan super blood moon lhooo 
290,cod cash or duel 
291,kirim taiwan 
292,nyesel deh pilih pick up marketplace paket pick up nyuruh konfirm marketplace sistem berjalan cust konfirm aneh lambat 
293,hallo yess lupa 
294,sore kak admin cek paketnya pengantaran alamat penerima mohon menunggu pengantarannya estimasi pengecekan silahkan akses link kak terima kasih nanda 
295,neh 
296,hai kak mohon infokan center mohon infokan kecamatannya syatiar 
297,tidak tanggapi parah jnemau barang cukupkan 
298,center stnknya tujuan pakai scan 
299,yauda kmu gih edukasi masyarakat mas he semangat 
300,tuh min 
301,halo kakak nomor resinya disini mimin bantu follow up terima kasih 
302,ceritanya habis kirim paket pakai uda bayar resi uda kirim penerima eh penerima disuruh bayar sih tidak huhuhuhuu 
303,bantu cust beli pakai cod ga bayar paket return nya gajelas skrng barangnya kmna rugi barang ga bantu 
304,sore min siang paket shopeee cuman status dishopeeenya berubah satunya berubah dibantu 
305,halo kakak mohon cek dm kakak terima kasih 
306,nnya paket jp ko shopee penerima paket janto 
307,jp kakak mohon bantuannya 
308,halo kak terima paket status nya diterima help plis 
309,f pesanan resi jp toko sdh buka paketan dikirim 
310,halo kak paket shoppe statusnya diterima nerima bantu 
311,g banget 
312,ditunggu reportnya capek ngejelasin awal telfon cs 
313,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket on process pengiriman menuju denpasar gateway mohon kesediaannya menunggu kakak dimaksimalkan terima kasih 
314,tips mimin rekam membuka paket diterima paket tidak maka 
315,siapkan uang tunai senilai total harga belanjaan tertera harga ongkos kirim usahakan friends 
316,hai friends yuk pembeli cermat menggunakan fitur cod j amp t express nyaman melakukan 
317,melewati tanggal estimasi agak panik dibantu follow up min nomor resi tertera gambar terima kasih admin semoga sehat 
318,halo kakak mohon maaf ketidaknyamanannya laporan diterima dibantu cek follow up terkait dimaksimalkan mohon kesediaannya menunggu terima kasih 
319,kakak laporan diterima dibantu cek follow up terkait mohon kesediaanya menunggu terima kasih 
320,halo admin maaf mengganggu ga paket statusnya kota tujuan denpasar travelling medan jakarta statusnya berubah 
321,halo kakak nomor resinya disini mimin bantu cek terima kasih 
322,halo kakak mohon maaf ketidaknyamanannya status paket tsb dibantu cek follow up terkait mohon kesediaannya menunggu terima kasih 
323,minn ga gerak jp 
324,halo admin status barang kirim distatus ga terkirim tapibarang tidak dibalikin mohon penjelasan 
325,halo kakak nomor resinya disini mimin bantu follow up terima kasih 
326,kakak mohon maaf ketidaknyamanannya laporan diterima dibantu follow up dimaksimalkan mohon kesediaannya menunggu kakak terima kasih 
327,hah kapal mas kurir paket keluar pulau pakai pesawat min pakai kapal 
328,halo kakak mohon maaf ketidaknyamanannya status paket tsb paket on process menuju dc garut tanggal mohon kesediaannya menunggu kakak terima kasih 
329,nomor resi jp 
330,halo kakak kendala terkait pickup paket mohon menghubungi tim call center informasi terima kasih 
